pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long
160062,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.6836658,76.7307663
160071,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.7038528,76.70767679999999
160103,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.707137,76.7174871
160104,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.642785800000002,76.854799
140119,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,31.076363300000004,76.5257007
140125,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,31.359849600000004,76.3926668
140133,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,31.278788399999996,76.4215988
140603,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.619326300000004,76.79135579999999
140603,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.619326300000004,76.79135579999999
160001,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.753500300000002,76.8057776
160002,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.689624699999996,76.7884713
160003,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.673873399999998,76.8000091
160003,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.673873399999998,76.8000091
160004,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.6582706,76.78558659999999
160005,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.7350626,76.6933167
160009,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.746667699999996,76.7942403
160011,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,59.209942000000005,39.898058
160012,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.7680494,76.782702
160014,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.777678299999998,76.7394237
160015,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.750525300000003,76.7769324
160017,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.739833899999997,76.782702
160018,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.733225399999995,76.787029
160019,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.730330199999997,76.8000091
160020,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.7213417,76.78125959999998
160022,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.726759100000002,76.76539240000001
160022,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.726759100000002,76.76539240000001
160023,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.7396066,76.766835
160025,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.752717699999998,76.7163359
160030,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.712206899999995,76.7884713
160036,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.7325393,76.7394237
