pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long,distance
122015,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4963709,77.0593246,5.0
122016,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.5079338,77.0751538,7.0
122017,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.5076558,77.02766,5.0
122018,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4180814,77.0506896,5.0
122022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4599113,77.067959,4.0
122022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4599113,77.067959,4.0
122050,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3563164,76.93117609999999,14.0
122051,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3484435,76.92397270000002,15.0
122052,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3702789,76.9124465,14.0
122101,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3636532,77.0219019,10.0
122102,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3117677,77.0794705,17.0
122103,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.1738838,77.0794705,32.0
122104,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.7464579,76.9412601,79.0
122105,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,42.138642,120.9731996,4221.0
122107,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.0775058,77.0334179,42.0
122108,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.9394584,77.0334179,57.0
122413,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3043458,76.8836261,22.0
122414,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.2701202,76.7682775,32.0
122502,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.2713642,76.6643728,41.0
122503,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3308988,76.8028933,26.0
122504,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.384868,76.7682775,26.0
122505,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4317042,76.8951551,13.0
122506,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4330156,76.79135579999998,23.0
122508,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.8604325,77.1715228,67.0
123106,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.1760065,76.745195,41.0
121001,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.3899664,77.2979782,2.0
121002,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.419423,77.3668965,4.0
121003,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.453860700000003,77.3032742,5.0
121004,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.2919383,77.355413,13.0
121005,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.3700239,77.2692503,6.0
121006,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.3784284,77.2924267,4.0
121007,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.388988399999995,77.3180836,2.0
121008,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.4349347,77.3180836,2.0
121009,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.4870386,77.2922332,9.0
121010,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.4666747,77.2893606,6.0
121012,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.420740500000004,77.2893606,3.0
121013,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.4868329,77.3351855,8.0
121101,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.3799037,77.4357739,12.0
121102,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.1373319,77.42429720000001,31.0
121103,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.0446221,77.1715228,42.0
121105,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.0241268,77.32095550000003,42.0
121106,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,27.923692,77.355413,53.0
121107,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,27.9824927,77.4931403,50.0
133301,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.8272925,76.83749949999998,14.0
133302,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.856956800000006,76.9066829,18.0
134101,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.794307300000003,76.9009191,11.0
134102,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.7511449,76.97582740000001,12.0
134103,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.6584328,76.95278359999998,9.0
134104,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.8079506,76.92397270000002,13.0
134105,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.702486100000005,76.7921156,6.0
134107,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.7417398,76.8836261,5.0
134108,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.6904992,76.85191590000002,0.0
134109,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.7039849,76.9009191,4.0
134112,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.6753287,76.8692134,2.0
134113,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.6786134,76.84614959999998,2.0
134114,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.7193224,76.857682,2.0
134116,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.6475006,76.9009191,6.0
134117,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.666644800000004,76.8533575,3.0
134118,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.54304310000001,76.9297354,18.0
134204,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.5749958,77.0219019,20.0
134205,Panchkula,HARYANA,1,Panchkula,30.6942091,76.86056500000002,30.6373345,77.0794705,21.0
140103,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.8435639,76.5603828,21.0
140103,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.8435639,76.5603828,21.0
140109,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.9031593,76.6990172,22.0
140110,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.833115000000006,76.675922,14.0
140112,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.8690201,76.37530459999998,37.0
140413,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.753362300000006,76.5603828,16.0
140413,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.753362300000006,76.5603828,16.0
140413,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.753362300000006,76.5603828,16.0
140501,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.4681308,76.86056500000002,29.0
140507,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.583575300000003,76.8836261,20.0
140507,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.583575300000003,76.8836261,20.0
140604,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.6625018,76.8129878,10.0
140901,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.8177598,76.745195,12.0
140901,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.8177598,76.745195,12.0
160059,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.7191317,76.720616,1.0
160059,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.7191317,76.720616,1.0
160062,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.6836658,76.7307663,2.0
160062,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.6836658,76.7307663,2.0
160062,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.6836658,76.7307663,2.0
160071,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.7038528,76.70767679999999,0.0
160103,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.707137,76.7174871,0.0
160104,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999998,30.6427858,76.854799,14.0
140119,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,31.076363300000004,76.5257007,45.0
140125,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,31.359849600000004,76.3926668,78.0
140133,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,31.2787884,76.4215988,69.0
140603,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.619326300000004,76.79135579999998,12.0
140603,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.619326300000004,76.79135579999998,12.0
