pincode,district_name,state_name,serviceable,city_name,city_lat,city_long
201004,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201005,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201006,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201007,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201009,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201010,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201011,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201012,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201013,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201014,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201015,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201016,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201017,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201019,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201020,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201102,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201103,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201201,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201204,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201206,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201302,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
245101,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
245201,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
245205,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
245207,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
245208,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
