,actor,applicationid,from_status,substatuses,userid
980,vineeth.s,48387,INITIATED,"[""MCA_NOT_FOUND""]",336534
981,prashanth.eswaramoorti,48391,INITIATED,"[""FOIR""]",334503
982,pranjusha.periyambra,48403,INITIATED,"[""FOIR""]",132564
983,pranjusha.periyambra,48404,INITIATED,"[""CIBIL_MIN"", ""MCA_NOT_FOUND""]",429733
984,pranjusha.periyambra,48407,INITIATED,"[""FOIR""]",455763
985,pranjusha.periyambra,48410,INITIATED,"[""FOIR""]",675
986,pranjusha.periyambra,48437,INITIATED,"[""FOIR""]",456922
987,pranjusha.periyambra,48438,INITIATED,"[""MCA_NOT_FOUND"", ""CHEQUE_BOUNCES""]",455990
988,preetham.shetty,48443,INITIATED,"[""FOIR""]",364585
989,sumalatha.thadimari,48446,INITIATED,"[""FOIR""]",374988
990,anurag.prateek,48452,CREDIT_PENDING,"[""FOIR""]",293360
991,sumalatha.thadimari,48455,INITIATED,"[""MCA_NOT_FOUND""]",323935
992,aparajita.bariyar,48456,INITIATED,"[""FOIR""]",449510
993,prashanth.eswaramoorti,48474,INITIATED,"[""MCA_NOT_FOUND""]",368052
994,siddharthan.l,48494,INITIATED,"[""FOIR""]",326239
995,siddharthan.l,48509,INITIATED,"[""FOIR""]",457547
996,siddharthan.l,48512,INITIATED,"[""FOIR""]",459235
997,siddharthan.l,48513,INITIATED,"[""FOIR"", ""CIBIL_MIN"", ""OVERDUES""]",27876
998,siddharthan.l,48514,INITIATED,"[""FOIR""]",408440
999,siddharthan.l,48517,INITIATED,"[""FOIR"", ""CIBIL_MIN"", ""MULTIPLE_DEFAULTS""]",459270
1000,siddharthan.l,48521,INITIATED,"[""FOIR""]",448732
1001,lakshmidevi.m,48550,INITIATED,"[""MCA_NOT_FOUND""]",424756
1002,sumalatha.thadimari,48556,INITIATED,"[""MCA_NOT_FOUND""]",449280
1003,sumalatha.thadimari,48557,INITIATED,"[""MCA_NOT_FOUND""]",459706
1004,sumalatha.thadimari,48558,INITIATED,"[""FOIR"", ""CHEQUE_BOUNCES""]",448018
1005,sumalatha.thadimari,48559,INITIATED,"[""FOIR"", ""OVERDUES""]",205226
1006,sumalatha.thadimari,48561,INITIATED,"[""FOIR""]",454798
1007,sumalatha.thadimari,48563,INITIATED,"[""FOIR""]",423798
1008,sumalatha.thadimari,48565,INITIATED,"[""FOIR""]",313284
1009,sumalatha.thadimari,48566,INITIATED,"[""MULTIPLE_DEFAULTS"", ""MCA_NOT_FOUND""]",447359
1010,lakshmidevi.m,48575,INITIATED,"[""FOIR"", ""CHEQUE_BOUNCES""]",82021
1011,siddharthan.l,48589,INITIATED,"[""FOIR""]",173333
