,pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long,distance
1053,412411,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.1678852,74.1592278,78.0
1054,412412,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.2247228,74.018261,79.0
1055,412412,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.2247228,74.018261,79.0
1056,413102,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.151940300000003,74.56976170000002,85.0
1057,413102,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.151940300000003,74.56976170000002,85.0
1058,413103,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,17.954871100000005,74.9910112,135.0
1059,413103,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,17.954871100000005,74.9910112,135.0
1060,413104,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1671568,74.7571147,102.0
1061,413104,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1671568,74.7571147,102.0
1062,413105,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.320138,74.7922202,101.0
1063,413105,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.320138,74.7922202,101.0
1064,413106,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1433773,75.0377502,131.0
1065,413106,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1433773,75.0377502,131.0
1066,413110,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1759589,74.4408385,72.0
1067,413110,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1759589,74.4408385,72.0
1068,413114,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.044869,74.8156199,114.0
1069,413114,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.044869,74.8156199,114.0
1070,413115,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1106214,74.48773059999998,80.0
1071,413115,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1106214,74.48773059999998,80.0
1072,413116,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.0721443,74.58147729999997,91.0
1073,413116,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.0721443,74.58147729999997,91.0
1074,413120,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.043560100000004,74.94425849999998,126.0
1075,413120,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.043560100000004,74.94425849999998,126.0
1076,413130,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.3019259,74.7102958,93.0
1077,413130,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.3019259,74.7102958,93.0
1078,413132,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1784374,74.8974925,116.0
1079,413132,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1784374,74.8974925,116.0
1080,413133,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.2105917,74.58147729999997,83.0
1081,413133,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.2105917,74.58147729999997,83.0
1082,413801,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.3904914,74.663464,86.0
1083,413801,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.3904914,74.663464,86.0
1084,413802,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.3115749,74.5463282,76.0
1085,413802,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.3115749,74.5463282,76.0
1117,422211,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.5087335,73.5358541,62.0
1137,423101,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.2976274,74.2414092,57.0
1138,423102,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.4323089,74.19445290000002,64.0
1139,423104,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.247329,74.4525627,74.0
1140,423105,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.5679413,74.663464,110.0
1141,423106,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.2641633,74.64004320000002,93.0
1142,423108,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.6434394,74.34701700000002,92.0
1143,423110,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.3905619,74.37047700000002,74.0
1146,423201,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.5361174,74.4408385,90.0
1147,423202,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.5803526,74.41738769999998,91.0
1148,423203,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.5467979,74.5580454,100.0
1149,423204,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.7191485,74.2883536,95.0
1150,423205,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.7029648,74.6166192,116.0
1151,423206,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.7111565,74.4525627,105.0
1152,423208,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.4538793,74.4291135,83.0
1153,423212,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.420254,74.56976170000002,93.0
1154,423213,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.548532,74.32355390000002,82.0
1155,423301,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.5923163,74.1709702,76.0
1156,423302,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.7688454,74.07701,90.0
1157,423303,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.8074986,74.2414092,101.0
1158,423401,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.0829547,74.4291135,67.0
1159,423402,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.0069427,74.6166192,86.0
1160,423403,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.0997046,74.6166192,87.0
1161,423501,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.5074167,74.006509,60.0
1162,423502,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.4896201,73.8183804,54.0
1163,424109,Nashik,MAHARASHTRA,1,Nashik,19.9974533,73.78980229999998,20.3019263,74.80392049999998,111.0
1250,501101,Hyderabad,TELANGANA,1,Hyderabad,17.385044,78.486671,17.3263608,77.9510209,57.0
1265,501102,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.370086800000006,77.9053182,58.0
1266,501106,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.408155100000002,77.7680952,73.0
1267,501111,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.4331107,77.9852853,52.0
1268,501121,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.2687004,77.7680952,71.0
1269,501141,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.303805800000006,77.5848665,90.0
1270,501142,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.3640325,77.61924470000002,87.0
1271,501143,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.202306600000004,77.4472495,105.0
1272,501144,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.2014425,77.61924470000002,87.0
1273,501158,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.308937699999998,77.4816693,101.0
1274,501202,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.5505351,77.8138553,74.0
1280,501501,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.186881,77.9510209,52.0
1281,501502,K.V.Rangareddy,TELANGANA,1,Shamshabad,17.251160000000002,78.43773490000002,17.0856681,77.8138553,68.0
1409,561101,Bangalore Rural,KARNATAKA,1,Bangalore,12.9715987,77.5945627,13.1367515,77.1370115,52.0
1421,562131,Bangalore Rural,KARNATAKA,1,Bangalore,12.9715987,77.5945627,13.057089,77.1255055,51.0
1503,600016,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.9931872,80.159541,52.0
1504,600043,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.9631147,80.16565190000001,52.0
1514,600091,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.9617233,80.19937159999998,55.0
1515,600096,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.9598291,80.2403913,59.0
1516,600096,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.9598291,80.2403913,59.0
1517,600097,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.938378300000002,80.23961779999998,59.0
1518,600097,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.938378300000002,80.23961779999998,59.0
1519,600100,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.9171412,80.1940972,54.0
1520,600116,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,13.0187187,80.1498868,52.0
1521,600116,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,13.0187187,80.1498868,52.0
1522,600117,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.936980300000002,80.1740202,52.0
1523,600119,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.876530699999998,80.22693709999999,56.0
1524,600119,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.8341735,79.7036402,12.876530699999998,80.22693709999999,56.0
1544,600077,Tiruvallur,TAMIL NADU,1,Tiruvallur,13.2544335,80.0087746,9.9302594,80.123188,367.0
